source_name,ra_j2000_deg,dec_j2000_deg,ra_b1950_hms,ra_b1950_err_s,dec_b1950_dms,dec_b1950_err_arcmin,flux_178mhz_jy,flux_178mhz_note,diam_limit,diam_value,diam_unit,diam_arcmin,ra_icrs_hms,dec_icrs_dms,vizier_recno
3C436,326.05358,28.1585,21 41 59.1,3,+27 55.7,3,15,*,<,40,"""",0.66666667,21 44 12.9,+28 09 31,306
3C437,326.84914,15.28228,21 45 00.0,3,+15 03.0,5,10.5,*,<,40,"""",0.66666667,21 47 23.8,+15 16 56,307
3C437.1,327.70385,13.93454,21 48 24.0,12,+13 42.0,45,5,,,,,,21 50 48.9,+13 56 04,308
3C438,328.96782,38.00119,21 53 45.5,1,+37 45.8,1,37,*,<,40,"""",0.66666667,21 55 52.3,+38 00 04,309
3C441,331.52401,29.52237,22 03 50.1,1,+29 16.7,1.5,13,*,<,40,"""",0.66666667,22 06 05.8,+29 31 21,310
3C442,333.8438,13.83256,22 12 56.0,12,+13 35.0,12,20,,,,,,22 15 22.5,+13 49 57,311
3C445,335.94989,-2.1564,22 21 13.1,1,-02 24.6,4,23,,,1.9,',1.9,22 23 48.0,-02 09 23,312
3C449,337.84195,39.20729,22 29 09.0,6,+38 57.0,7,13.5,,,3,',3,22 31 22.1,+39 12 26,313
3C452,341.45613,39.67513,22 43 33.5,2,+39 24.7,1.5,49,,,3.2,',3.2,22 45 49.5,+39 40 30,314
3C454,342.90253,18.83064,22 49 09.6,3,+18 33.9,5,9,,<,3,',3,22 51 36.6,+18 49 50,315
3C454.1,342.78851,71.86558,22 49 36.0,24,+71 36.0,45,9.5,,<,3,',3,22 51 09.2,+71 51 56,316
3C454.2,343.06509,65.06593,22 50 24.0,18,+64 48.0,45,10.5,,<,3,',3,22 52 15.6,+65 03 57,317
3C454.3,343.54399,15.26656,22 51 42.0,12,+15 00.0,45,15,,<,2.5,',2.5,22 54 10.6,+15 16 00,318
3C455,343.79696,13.46691,22 52 42.0,8,+13 12.0,7,13,,,2.5,',2.5,22 55 11.3,+13 28 01,319
3C456,348.14783,9.37214,23 10 04.0,10,+09 06.0,12,13,,<,3,',3,23 12 35.5,+09 22 20,320
3C458,348.21994,5.37222,23 10 20.3,5,+05 06.0,5,10,,,2.2,',2.2,23 12 52.8,+05 22 20,321
3C459,349.14855,4.1898,23 14 02.8,5,+03 55.0,5,22,*,<,3,"""",0.05,23 16 35.7,+04 11 23,322
3C460,350.37089,23.8092,23 19 00.3,3,+23 32.1,3,9.5,,<,2.5,',2.5,23 21 29.0,+23 48 33,323
3C461,350.85996,58.82624,23 21 10.6,2,+58 33.1,1,11000,,,,,,23 23 26.4,+58 49 34,324
3C465,354.63093,26.947,23 36 01.0,1.5,+26 40.2,1.5,35,,,4,',4,23 38 31.4,+26 56 49,325
3C468.1,357.76478,64.67805,23 48 36.0,18,+64 24.0,45,34,,<,2.5,',2.5,23 51 03.5,+64 40 41,326
3C469.1,358.97957,80.07824,23 53 30.0,36,+79 48.0,45,11.5,,<,3,',3,23 55 55.1,+80 04 42,327
3C470,359.65467,44.10499,23 56 04.1,3,+43 49.6,3,9,,<,2.5,',2.5,23 58 37.1,+44 06 18,328
