source_name,ra_j2000_deg,dec_j2000_deg,ra_b1950_hms,ra_b1950_err_s,dec_b1950_dms,dec_b1950_err_arcmin,flux_178mhz_jy,flux_178mhz_note,diam_limit,diam_value,diam_unit,diam_arcmin,ra_icrs_hms,dec_icrs_dms,vizier_recno
3C237,152.00075,7.48662,10 05 22.2,1.5,+07 43.9,1.5,24,*,<,12,"""",0.2,10 08 00.2,+07 29 12,148
3C238,152.75128,6.44491,10 08 23.0,5,+06 41.5,5,13,,<,2.5,',2.5,10 11 00.3,+06 26 42,149
3C239,152.97585,46.41958,10 08 48.0,8,+46 40.0,12,12,,<,2.5,',2.5,10 11 54.2,+46 25 10,150
3C241,155.47932,21.94577,10 19 09.9,3,+22 11.9,3,10,*,<,45,"""",0.75,10 21 55.0,+21 56 45,151
3C244.1,158.436,58.44188,10 30 30.0,18,+58 42.0,45,19,,<,2.5,',2.5,10 33 44.6,+58 26 31,152
3C245,160.72338,12.10443,10 40 15.0,7,+12 22.0,6,9.5,*,<,40,"""",0.66666667,10 42 53.6,+12 06 16,153
3C247,164.75002,43.03192,10 56 09.4,3,+43 18.0,3,15.5,,,1.5,',1.5,10 59 00.0,+43 01 55,154
3C249,165.54338,-1.26919,10 59 37.0,6,-01 00.0,7,20,,,2.5,',2.5,11 02 10.4,-01 16 09,155
3C249.1,166.00091,77.23052,11 00 12.0,30,+77 30.0,45,11.5,,<,3,',3,11 04 00.2,+77 13 50,156
3C250,167.21899,24.98057,11 06 11.7,3,+25 15.1,3,11,,<,3,',3,11 08 52.6,+24 58 50,157
3C252,167.9254,35.62816,11 08 58.0,10,+35 54.0,5,12,,,2,',2,11 11 42.1,+35 37 41,158
3C254,168.66545,40.62742,11 11 54.3,1,+40 54.0,0.5,19,*,<,12,"""",0.2,11 14 39.7,+40 37 39,159
3C255,169.89663,-2.79047,11 17 02.0,7,-02 31.0,14,16.5,,<,2.5,',2.5,11 19 35.2,-02 47 26,160
3C256,170.18125,23.48433,11 18 04.6,3,+23 45.5,3,9.5,*,<,12,"""",0.2,11 20 43.5,+23 29 04,161
3C257,170.82441,5.5921,11 20 43.0,5,+05 52.0,8,9,,<,4,',4,11 23 17.9,+05 35 32,162
3C258,171.20627,19.37515,11 22 12.0,9,+19 39.0,7,9,,<,4,',4,11 24 49.5,+19 22 31,163
3C263,174.92878,65.83959,11 36 55.0,10,+66 07.0,10,13,,<,15,"""",0.25,11 39 42.9,+65 50 23,164
3C263.1,175.8566,22.13248,11 40 49.7,1.5,+22 24.6,2,17.5,,<,2,',2,11 43 25.6,+22 07 57,165
3C264,176.27977,19.59566,11 42 31.7,1.5,+19 52.4,2,24,,,2.7,',2.7,11 45 07.1,+19 35 44,166
3C265,176.37083,31.56065,11 42 52.4,3,+31 50.3,3,18,,<,1,',1,11 45 29.0,+31 33 38,167
3C266,176.43766,49.76065,11 43 05.9,3,+50 02.3,3,9,,<,3,',3,11 45 45.0,+49 45 38,168
3C267,177.50214,12.88863,11 47 26.0,8,+13 10.0,7,13.5,,<,3.5,',3.5,11 50 00.5,+12 53 19,169
3C268.1,180.11888,73.12169,11 57 54.0,24,+73 24.0,45,19.5,,<,2.5,',2.5,12 00 28.5,+73 07 18,170
3C268.2,180.24587,31.51998,11 58 25.2,3,+31 47.9,3,9,,<,3.5,',3.5,12 00 59.0,+31 31 12,171
3C268.3,181.67664,64.52176,12 04 12.0,18,+64 48.0,45,9.5,,<,3,',3,12 06 42.4,+64 31 18,172
3C268.4,182.31715,43.6685,12 06 44.6,10,+43 56.8,3,9,,<,3,',3,12 09 16.1,+43 40 07,173
3C270,184.79796,5.83746,12 16 38.3,5,+06 06.9,5,44,,,4.7,',4.7,12 19 11.5,+05 50 15,174
3C270.1,185.14454,33.65598,12 18 04.7,3,+33 56.0,3,12,,<,2.5,',2.5,12 20 34.7,+33 39 22,175
3C272,186.12585,42.10643,12 22 02.6,1.5,+42 23.0,1.8,9.5,,<,3,',3,12 24 30.2,+42 06 23,176
3C272.1,186.27983,12.82313,12 22 35.0,9,+13 06.0,45,18,,,4.2,',4.2,12 25 07.2,+12 49 23,177
3C273,187.27186,2.06699,12 26 31.8,5,+02 20.6,5,67,*,<,12,"""",0.2,12 29 05.2,+02 04 01,178
3C274,187.7077,12.39227,12 28 18.0,0.5,+12 40.1,0.5,970,,,4.7,',4.7,12 30 49.8,+12 23 32,179
3C274.1,188.86272,21.3264,12 32 57.2,3,+21 36.1,3,15,,<,3,',3,12 35 27.1,+21 19 35,180
3C275,190.59899,-4.92394,12 39 49.0,6,-04 39.0,7,9.5,,<,3,',3,12 42 23.8,-04 55 26,181
3C275.1,190.99156,16.43645,12 41 27.9,3,+16 42.6,5,16,,<,3,',3,12 43 58.0,+16 26 11,182
3C277,192.93483,50.59677,12 49 28.5,3,+50 52.1,3,12.5,,,4,',4,12 51 44.4,+50 35 48,183
3C277.1,193.12011,56.92865,12 50 18.0,18,+57 12.0,45,12,,<,3,',3,12 52 28.8,+56 55 43,184
3C277.2,193.38551,15.52885,12 51 03.0,12,+15 48.0,45,9.5,,<,3,',3,12 53 32.5,+15 31 44,185
3C277.3,193.55584,27.61573,12 51 47.7,3,+27 53.2,3,11.5,,<,3,',3,12 54 13.4,+27 36 57,186
3C280,194.24578,47.33156,12 54 42.8,0.5,+47 36.1,1,20,*,<,40,"""",0.66666667,12 56 59.0,+47 19 54,187
3C280.1,195.13943,40.11763,12 58 14.2,3,+40 23.2,3,11,,<,3,',3,13 00 33.5,+40 07 03,188
3C284,197.77744,27.4345,13 08 43.3,3,+27 42.0,3,10.5,,,3,',3,13 11 06.6,+27 26 04,189
3C285,200.33456,42.60022,13 19 07.7,2,+42 51.7,2,10.5,,,3,',3,13 21 20.3,+42 36 01,190
3C287,202.66145,25.16925,13 28 17.0,3,+25 25.6,3,14,*,<,12,"""",0.2,13 30 38.7,+25 10 09,191
3C286,202.78594,30.50284,13 28 50.0,1,+30 45.6,1,21,*,<,1.5,',1.5,13 31 08.6,+30 30 10,192
3C287.1,203.22403,2.06523,13 30 21.0,5,+02 19.3,5,11.5,,,4,',4,13 32 53.8,+02 03 55,193
3C288,204.70598,38.81326,13 36 38.0,3,+39 04.0,4,14.5,*,<,40,"""",0.66666667,13 38 49.4,+38 48 48,194
3C288.1,205.63313,59.94863,13 40 48.0,18,+60 12.0,45,9.5,,<,3.5,',3.5,13 42 32.0,+59 56 55,195
3C289,206.36687,49.7651,13 43 29.2,3,+50 00.9,3,9.5,,<,2.5,',2.5,13 45 28.0,+49 45 54,196
3C293,208.07355,31.40877,13 50 03.0,3,+31 39.3,3,12,*,<,2.5,',2.5,13 52 17.7,+31 24 32,197
3C293.1,208.68879,16.45511,13 52 21.0,12,+16 42.0,45,9.5,,<,3,',3,13 54 45.3,+16 27 18,198
3C294,211.68712,34.2958,14 04 35.0,6,+34 32.0,8,9,*,<,40,"""",0.66666667,14 06 44.9,+34 17 45,199
3C295,212.83706,52.23224,14 09 33.8,1.5,+52 28.0,1.5,73,,<,12,"""",0.2,14 11 20.9,+52 13 56,200
3C296,214.2136,8.28562,14 14 23.0,15,+08 31.0,15,12.5,,,3,',3,14 16 51.3,+08 17 08,201
3C297,214.33932,-4.19744,14 14 45.0,7,-03 58.0,9,9.5,,,,,,14 17 21.4,-04 11 51,202
3C298,214.78462,6.46217,14 16 38.9,1,+06 41.5,1,44,*,<,4,"""",0.066666667,14 19 08.3,+06 27 44,203
3C299,215.27877,41.74876,14 19 07.5,1.5,+41 58.6,1.5,11,*,<,2,"""",0.033333333,14 21 06.9,+41 44 56,204
3C300,215.75027,19.61993,14 20 40.2,3,+19 50.8,3,16,,<,2,',2,14 23 00.1,+19 37 12,205
3C300.1,217.17011,-1.62278,14 26 06.0,9,-01 24.0,45,10.5,,<,3,',3,14 28 40.8,-01 37 22,206
3C303,220.75914,52.08354,14 41 24.4,3,+52 17.7,3,12.5,,<,40,"""",0.66666667,14 43 02.2,+52 05 01,207
3C303.1,220.86954,76.98979,14 44 06.0,30,+77 12.0,45,11.5,,,2.3,',2.3,14 43 28.7,+76 59 23,208
3C305,222.30427,63.34374,14 48 09.0,12,+63 33.0,15,13.5,,<,12,"""",0.2,14 49 13.0,+63 20 37,209
3C305.1,221.94647,76.69326,14 48 24.0,30,+76 54.0,45,11.5,,<,3,',3,14 47 47.2,+76 41 36,210
3C306.1,223.84129,-4.0019,14 52 45.0,18,-03 48.0,45,12.5,,<,3,',3,14 55 21.9,-04 00 07,211
3C309.1,224.93834,72.50298,14 59 42.0,24,+72 42.0,45,17,,<,2,',2,14 59 45.2,+72 30 11,212
3C310,226.24963,26.02824,15 02 49.7,1,+26 13.3,0.5,51,,,1.6,',1.6,15 04 59.9,+26 01 42,213
3C313,227.74801,7.83006,15 08 32.6,1.5,+08 01.1,1.5,28,,,2.5,',2.5,15 10 59.5,+07 49 48,214
3C314.1,227.73557,71.11277,15 10 48.0,24,+71 18.0,45,9,,<,3,',3,15 10 56.5,+71 06 46,215
3C315,228.41868,26.10929,15 11 31.2,3,+26 17.7,3,17.5,,<,2,',2,15 13 40.5,+26 06 33,216
3C317,229.18837,7.0036,15 14 17.7,1,+07 11.2,1,43,*,<,40,"""",0.66666667,15 16 45.2,+07 00 13,217
3C318,230.026,20.28013,15 17 51.4,3,+20 27.6,3,10,*,<,15,"""",0.25,15 20 06.2,+20 16 48,218
3C318.1,230.46081,7.65997,15 19 23.8,1,+07 50.3,1.5,11,,<,3,',3,15 21 50.6,+07 39 36,219
3C319,231.03731,54.47436,15 22 48.0,6,+54 39.0,4,17,*,<,2.5,',2.5,15 24 09.0,+54 28 28,220
3C320,232.88531,35.71446,15 29 37.0,5,+35 53.0,6,11.5,*,<,40,"""",0.66666667,15 31 32.5,+35 42 52,221
3C321,232.9599,24.04128,15 29 40.4,3,+24 12.6,3,12.5,,<,40,"""",0.66666667,15 31 50.4,+24 02 29,222
3C322,233.84151,55.91853,15 34 08.0,8,+56 05.0,7,9.5,,<,3,',3,15 35 22.0,+55 55 07,223
3C323,235.47802,60.1418,15 40 57.0,8,+60 18.0,10,9.5,,,2.7,',2.7,15 41 54.7,+60 08 30,224
3C323.1,236.93739,20.90203,15 45 32.6,3,+21 03.3,3,9,,<,3,',3,15 47 45.0,+20 54 07,225
3C324,237.46098,21.44416,15 47 39.0,3,+21 35.7,3,11.5,*,<,40,"""",0.66666667,15 49 50.6,+21 26 39,226
3C325,237.46871,62.6833,15 49 08.0,10,+62 50.0,4,10.5,,<,40,"""",0.66666667,15 49 52.5,+62 41 00,227
3C326,238.11154,20.12348,15 50 13.8,3,+20 16.3,3,10,,,1.7,',1.7,15 52 26.8,+20 07 25,228
3C326.1,239.04499,20.09068,15 53 58.0,3,+20 14.1,3,9,,<,3,',3,15 56 10.8,+20 05 26,229
3C327,240.62818,1.91879,15 59 59.0,1,+02 03.4,2,40,,,3.7,',3.7,16 02 30.8,+01 55 08,230
3C327.1,241.19258,1.26617,16 02 13.8,1,+01 24.1,1.5,24,,<,2,',2,16 04 46.2,+01 15 58,231
3C330,242.33043,66.03726,16 08 59.0,10,+66 10.0,6,24,,<,2,',2,16 09 19.3,+66 02 14,232
3C332,244.42625,32.34547,16 15 46.7,3,+32 28.0,3,10.5,,<,3,',3,16 17 42.3,+32 20 44,233
3C334,245.0898,17.40819,16 18 06.8,3,+17 31.6,5,10,*,<,40,"""",0.66666667,16 20 21.6,+17 24 29,234
3C336,246.16527,23.75469,16 22 32.8,3,+23 52.1,3,13.5,*,<,40,"""",0.66666667,16 24 39.7,+23 45 17,235
3C341,247.02571,27.69857,16 26 04.7,3,+27 48.5,3,10.5,,<,3,',3,16 28 06.2,+27 41 55,236
3C338,247.16501,39.55604,16 26 56.7,1,+39 39.9,0.75,41,,<,2,',2,16 28 39.6,+39 33 22,237
3C337,247.20752,44.22465,16 27 16.0,6,+44 20.0,5,17,,<,3,',3,16 28 49.8,+44 13 29,238
3C340,247.40495,23.38521,16 27 30.1,3,+23 29.6,3,11,,<,3,',3,16 29 37.2,+23 23 07,239
3C343,248.71241,62.69866,16 34 18.0,18,+62 48.0,45,9.5,,<,3,',3,16 34 51.0,+62 41 55,240
3C343.1,249.65918,62.70297,16 38 06.0,18,+62 48.0,45,9,,<,3,',3,16 38 38.2,+62 42 11,241
3C345,250.74954,39.75728,16 41 18.6,3,+39 51.0,3,10,*,<,12,"""",0.2,16 42 59.9,+39 45 26,242
3C346,250.9536,17.23622,16 41 34.7,3,+17 19.7,3,11,*,<,15,"""",0.25,16 43 48.9,+17 14 10,243
3C348,252.78534,4.97952,16 48 40.3,1,+05 03.8,1,325,,,3.2,',3.2,16 51 08.5,+04 58 46,244
3C349,254.89349,47.05999,16 58 10.0,4,+47 08.0,6,12,*,<,40,"""",0.66666667,16 59 34.4,+47 03 36,245
3C351,256.17046,60.73312,17 04 03.0,6,+60 48.0,5,11,,<,3,',3,17 04 40.9,+60 43 59,246
3C352,257.6718,45.97307,17 09 15.0,4,+46 02.0,4,11,*,<,12,"""",0.2,17 10 41.2,+45 58 23,247
3C353,260.12917,-0.99926,17 17 56.1,1,-00 57.0,1.5,203,,,4,',4,17 20 31.0,-00 59 57,248
3C356,261.07647,50.96446,17 23 06.0,3,+51 00.5,3,14.5,,,1.5,',1.5,17 24 18.4,+50 57 52,249
3C357,262.08097,31.74387,17 26 26.6,3,+31 47.0,3,9,,<,3,',3,17 28 19.4,+31 44 38,250
