RAJ2000,DEJ2000,Vmag,
0.85725833,63.640825,6.239,
254.6640042,5.05043889,10.92,
0.85770833,-29.00044444,9.44,
0.85806667,20.66547778,7.492,
0.85965,-36.25123056,6.968,
0.86340833,55.55096111,7.92,
0.86341667,62.35795278,8.69,
0.86626667,53.31251944,8,
0.87627083,55.05996389,8.547,
0.8764125,19.38144722,7.946,
0.87724167,12.35681944,7.469,
0.87850833,-65.82747222,9,
0.88044583,-35.60232778,8.5,
0.8814375,78.71786944,9.17,
0.88579583,-13.22727222,9.16,
0.88898333,42.35224167,7.5,
0.90239167,-51.80921111,8.6,
0.90446667,-31.09417778,7.777,
0.9045625,-28.4171,8.21,
0.90885833,70.30609167,8,
0.9159875,-57.16441389,8.2,
0.917175,3.90701111,7.921,
0.91908333,-41.09585278,9.67,
0.9228125,-28.39615278,8.243,
0.92438333,48.43695,6.711,
0.9271125,13.36516111,8.18,
0.93382917,-63.60071667,8.5,
0.93514167,42.02343889,7.411,
0.9349625,-17.33599722,4.551,
0.96504167,66.71219167,6.296,
0.96955833,57.37832778,8,
0.96985,22.29584722,8.27,
0.97254167,-28.39377222,7.66,
0.97537917,-57.83059167,8.591,
0.98009167,-42.55934722,11.55,
0.9838375,14.37891389,7.095,
0.98600417,-45.288725,8.53,
0.98798333,-43.19184167,9.55,
0.9876,36.97025556,8.42,
0.98922083,61.10356667,8.591,
0.99120833,-48.12491667,7.5,
0.99225417,-71.278625,9.7,
1.00119167,12.14583889,7.261,
1.00292917,-80.39509444,7.915,
1.00977083,-38.59477778,9.4,
1.0155,62.22205556,8.195,
1.021225,-16.99768056,12.03,
1.03297083,-25.892625,8.96,
1.03508333,56.921075,7.642,
1.04239167,49.870225,7.4,
1.04235,17.43655,8.534,
1.0441125,39.12001667,8.6,
1.04511667,11.26435556,8.8,
1.04608333,-4.92608611,9.56,
1.04968333,-30.13498056,7.1,
1.05181667,-10.14101944,9.834,
1.05633333,62.28791667,5.874,
1.05950417,-26.95235278,10.34,
1.06117083,-34.41474722,8.4,
1.06300417,-17.42490278,9.07,
1.06371667,60.15488333,8.82,
1.06629167,14.08156667,8.9,
1.06674167,65.15298056,7.59,
1.06690417,-25.91526111,8.6,
1.06741667,66.34913056,10.66,
1.06887083,-59.31521111,8.553,
1.07414167,-43.98849444,8.2,
1.07748333,-23.25401667,9.471,
1.07922917,-20.56877778,9,
1.08255417,-16.529075,5.779,
1.08333333,40.11038889,11.9,
1.08467917,-29.26891389,6.38,
1.08805,-53.90943333,8.8,
1.0885875,54.27462778,7.8,
1.08972917,12.95746944,8.62,
1.0954375,-29.38146944,7.75,
1.09958333,-57.32311111,10.46,
1.10381667,-47.06820833,9.802,
1.11208333,58.06861389,10.42,
1.11204167,-44.56744722,11.627,
1.12364167,51.829325,9.2,
1.12551667,-10.50952778,5,
1.12562083,-6.96541667,8.427,
1.12702917,-72.89721111,7.311,
1.13983333,-76.34647778,8.9,
1.14594167,-76.87354444,9.1,
1.14568333,71.96861667,9.4,
1.14812917,-71.69508056,8.8,
1.15062917,-19.43782222,9.22,
1.15177083,43.55134167,8.25,
1.15204583,-15.88931389,8.6,
1.1523125,42.09253889,5.92,
1.15245,-31.16901944,8.9,
1.155475,-81.345275,9.1,
1.1563125,2.93715278,7.96,
1.15887917,29.72221111,9.33,
1.15940417,-51.58333889,6.95,
1.16201667,-50.03599167,10.825,
1.16652083,-70.40420833,7.4,
1.16597917,-8.18493056,8.789,
1.166925,34.26514722,7.1,
1.16720833,34.2715,9,
1.17150833,6.52238056,8.407,
1.17205833,-71.4369,5.588,
1.17204167,14.96518611,7.363,
1.17437917,67.1666,5.67,
1.1777875,17.06975278,8.3,
1.1851875,51.53389167,8.71,
1.18812917,-32.36109722,9,
1.188675,0.05641667,8.6,
1.19294167,1.536875,8.21,
1.19527083,38.173575,9.39,
1.20407917,68.18882222,9.106,
1.20865417,38.786325,8.6,
1.21052083,6.41664167,9.4,
1.21155417,-29.63318611,8.28,
1.21179583,50.23489722,11.56,
1.21179583,43.97080278,8.18,
1.2167875,30.08593056,8.2,
1.2186,51.98261389,9.2,
293.0239292,-25.46803333,10.2,
1.22402917,34.65971667,6.109,
1.22177917,-30.25677222,8.32,
1.22460833,-31.99681389,7.8,
1.22535833,52.24895278,9.1,
1.22916667,58.53227778,6.6,
1.23329167,26.64863889,6.21,
1.23460417,23.26956111,7.85,
1.23424167,56.05706667,9.2,
1.23475,64.78142778,8.139,
1.2373125,-18.17858889,8.9,
1.23975,45.67433333,7.47,
1.239575,51.18066667,8.12,
1.24390833,26.72519444,8.6,
1.24477083,-70.21245833,8.13,
1.24527083,57.46881667,8.3,
1.246325,-70.49246944,8.41,
1.254975,27.674725,6.47,
1.25665833,33.35980556,9.6,
1.25777083,66.51675833,7.8,
1.260925,-36.01521944,7.732,
1.2623375,-59.82813889,8.6,
1.26385833,9.28005278,8.4,
1.26479167,1.03754722,8.9,
1.26583333,-0.50288889,6.298,
1.27538333,61.3143,5.791,
1.27869167,-42.56786389,8.7,
1.28135,-52.15174167,7.533,
1.28370833,45.22563889,9.5,
1.286525,67.84008056,7.6,
1.28866667,30.329,7.796,
1.29066667,45.22908333,6.712,
1.29117917,-62.84519722,8.146,
1.29133333,30.33147222,9.38,
1.29192083,-43.85082778,8.7,
1.29545417,45.78655833,9.949,
1.29255,2.39704722,8.9,
1.2927875,-32.468525,7.1,
1.302075,36.30361667,8.092,
1.30415,35.57096389,6.87,
1.31209583,3.00735,9.519,
1.31410833,-27.27186389,9.042,
1.31386667,-49.14226111,9.29,
1.32366667,-67.83266389,8.489,
1.3245375,48.47734444,7.9,
1.32695833,-1.793625,8.1,
1.35165,-37.35727778,8.558,
1.33315833,68.88457222,7,
1.3335875,-38.85720556,7,
1.333425,-21.315225,8.37,
1.33393333,-5.70761389,4.61,
1.33725,-59.81460833,8.8,
1.3404375,-56.95577778,7.4,
1.34187083,-79.25390278,7.7,
1.34261667,8.78768889,8.22,
1.34294583,3.60605,6.8,
1.34471667,-33.4993,9.1,
1.3498875,28.54357222,8.7,
1.35079167,16.32908333,8.8,
1.3556375,21.56915556,9.9,
1.3560625,-3.85163889,7.6,
1.360125,-14.42220278,7.5,
1.36479167,76.29147222,11.5,
1.3655,-37.30260278,7.8,
1.36672917,-42.88741111,7.46,
1.36770417,-7.66553611,7.1,
1.36894583,-61.22598056,8.8,
1.37021667,22.22444444,9.5,
1.37107083,34.10589722,7.852,
1.37985417,-9.61744444,7.119,
1.38327083,-35.12983056,9.4,
1.38376667,-31.96783889,12.04,
1.390625,76.28594444,9.6,
1.395525,53.17171944,7.2,
1.396825,-47.56938333,10,
1.39899583,-61.30983611,7.3,
1.40112917,-51.26066111,7.3,
1.40397917,43.4015,8.47,
1.4118875,-58.28953611,9.3,
1.4155375,55.71001667,7,
1.42029167,45.81027778,8.22,
1.42041667,44.46863056,8.364,
1.42372917,58.31331944,8.221,
1.42487917,13.39620278,5.537,
1.4291125,-29.96076111,9.91,
1.42935,-22.50983889,9.646,
1.4298875,25.61525556,10.1,
1.4302125,-15.36551111,8.614,
1.43345417,-36.77882222,10.1,
1.43554167,17.83913889,7.55,
1.43504167,81.07066667,9,
1.441675,-19.67022778,9.66,
1.4480125,47.08751667,8.6,
1.4568875,-52.82023611,9.4,
1.462975,78.738575,9.8,
1.46205417,-68.55142222,10,
1.46576667,2.764225,10.3,
1.46904167,-41.75311944,7.512,
1.4700875,12.52734167,9.057,
1.4785,-14.43283333,9.57,
1.47800417,18.235075,7.456,
1.4795375,-68.81174722,9,
1.48166667,18.07569444,8.58,
1.48637083,24.56895,6.922,
1.487975,49.62234722,7.5,
1.4927,44.73918611,7.9,
1.49584583,-54.64044167,9.7,
1.50000833,-48.67881667,10.2,
1.5006125,-39.13771111,8.5,
1.50205,28.27687222,6.9,
1.504325,16.45207778,7.87,
1.51350417,24.91663611,7.4,
1.5139125,63.67975,7.382,
1.51459583,53.27680833,8.6,
1.51662917,-84.09823889,8.4,
1.51808333,40.41858333,6.63,
1.521225,-31.44466389,9.6,
1.53354583,9.71498333,7.801,
1.53366667,0.12141667,8.27,
1.53825,-29.15166667,7.898,
1.54501667,87.88958056,8.928,
1.54862917,-23.53873889,9.825,
1.5548875,-1.88722778,8.8,
1.55910417,-32.81621111,8.6,
1.56392917,-55.49851667,9,
1.565375,58.43726389,5.981,
1.57070417,-64.24076389,7.842,
1.57059167,-10.77846667,7.64,
1.5777375,-1.23801944,8.32,
1.58040417,-49.07531389,5.701,
1.57974583,-65.84066944,12.17,
1.583175,-12.01719444,8.8,
1.58407083,40.89856667,7,
1.58425417,60.45706111,7.954,
1.58659167,68.63611944,8.058,
1.59085417,-24.60265278,10.149,
1.604025,-18.038275,7.308,
1.608425,42.75278056,8.357,
1.61057083,64.19619167,5.57,
1.611825,-74.40109444,9.849,
1.61292083,-16.73765556,9.243,
1.6147375,-52.93326944,8.9,
1.61839583,-43.62795556,10.07,
1.62179167,27.09009167,10.6,
1.63055417,-21.50129444,9.346,
1.63253333,5.82531944,10.955,
1.641475,43.78218889,8.84,
1.64816667,28.55311111,6.7,
1.64847083,-47.58465,9.69,
1.64967083,56.51463056,8,
1.65085417,-25.29540833,10.295,
1.653125,29.02155556,6.1,
1.6604625,33.65422222,8.486,
1.66192083,-36.08495833,7.5,
1.66497917,-24.62092778,8.558,
1.6669125,70.16931944,8.296,
1.67071667,65.58776667,11.55,
1.67399583,56.3247,8.5,
1.6824375,8.65672222,11,
1.68871667,-6.26136389,9.2,
1.6895875,-21.09235,9.83,
1.69258333,-13.74877778,9.84,
1.69424583,10.06896389,9.2,
1.69573333,-4.35005278,8.221,
1.6957375,23.49380556,8.69,
1.6970875,-70.58952222,8.1,
1.69987083,44.61277778,9.02,
1.70875,-23.10755,6.174,
1.70967083,68.16718333,11.79,
1.71082917,20.55972222,8.3,
1.7113875,31.13044167,7.896,
1.71405833,-45.86410833,10.18,
1.71824167,1.86100278,9.1,
1.71818333,49.3822,9.13,
1.722275,-38.87771944,7,
1.7224,-55.16077778,8.8,
1.7244,-3.62630278,8.226,
1.73066667,-30.60852778,11.34,
1.73220833,-30.60308333,10.24,
1.73393333,38.20246389,8.863,
1.7348625,-43.98529722,7.5,
1.7480125,-40.41410556,8.9,
1.7482625,65.53871944,10.49,
1.74889583,53.97491667,8.8,
1.75310417,32.87013889,9.7,
1.75830417,22.84445278,8.302,
1.7602375,5.28798889,8.395,
1.76080833,-18.8209,8.235,
1.76734583,6.87550278,7.439,
1.77287917,62.39286944,9.456,
1.78057083,85.404975,8.19,
1.78165417,-15.85020278,8.68,
1.7826125,-30.561825,8.65,
1.78322917,-23.03626389,9.5,
1.7843625,-37.92930278,8.41,
1.78485833,14.82363889,8.7,
1.7877625,72.77525,7.8,
297.1341958,18.20102222,10.501,
1.7925,34.85366389,8.7,
1.796,46.757075,7.6,
1.7975625,65.65377778,10.77,
1.80259583,6.20420556,8.85,
1.80325833,-60.07092778,9.4,
1.8031625,-22.02788889,10.254,
1.80585833,-76.73083056,7.543,
1.80750417,73.210225,7.875,
1.81015,20.55571111,7.9,
1.81424583,-41.88961389,8.228,
1.819325,-27.39778333,8.1,
1.8255125,20.96492222,9.14,
1.82614583,-17.38699444,6.193,
1.8266,7.70353611,7.637,
1.83105833,1.66534722,9,
1.84193333,-56.83703611,7.5,
1.84395417,-25.35668056,7.053,
1.84396667,26.45058056,7.38,
1.8452375,-11.03302778,8.9,
1.8467375,-11.61269444,7.7,
1.8535,-77.49255556,8.4,
1.85605,-40.47969444,8.2,
1.86739583,-56.01158611,7.497,
1.87199167,17.30277222,8.5,
1.88,35.74559444,9,
1.88030833,24.32128333,8.9,
1.8858125,-23.81890833,8.694,
1.8869125,32.00893333,8.5,
1.89556667,-60.64175556,8.24,
1.89671667,31.66903333,6.89,
1.902575,-86.03886389,7.404,
1.90255833,-62.31513889,7.5,
1.906,52.77296111,7.5,
1.90632917,53.52646389,8.37,
1.90621667,-45.11958889,8.195,
1.9071875,40.07839444,7.4,
1.90829167,40.148,6.764,
1.912975,-66.89560278,8.7,
1.91673333,1.0942,8.25,
1.91748333,-7.92148889,8.2,
1.91851667,39.03478889,8.02,
1.92047917,-65.93247222,6.8,
1.920975,-56.24953611,9.2,
1.92767083,-46.5447,8.5,
1.92977917,37.18534444,7.436,
1.93391667,-2.54866944,6.441,
1.94538333,-22.50873611,5.932,
1.94924583,-5.48595278,8.877,
1.95028333,21.74538056,9.5,
1.95165417,-11.12895,8.603,
1.96250417,38.72177222,7.66,
1.96710833,55.57709167,7.831,
1.97175417,-4.85499444,9.08,
1.977825,-42.15388611,10.1,
1.978575,-51.2579,8.1,
1.99583333,-14.22613889,8.55,
1.99729583,-18.68468611,7.64,
1.9976125,-78.21107222,7.8,
2.00051667,-78.59870278,7.2,
2.0010125,-7.54475278,7.846,
2.00330833,29.83756111,7.538,
2.00357083,-39.61231944,10,
2.00745833,31.39122222,7.145,
2.007725,-30.03183333,9.79,
2.00875,-45.38219444,8.8,
2.01463333,-33.52925556,5.673,
2.01959167,53.79638056,8.151,
2.0209,-29.416475,9.6,
2.02422083,4.92713056,8.1,
2.04033333,31.37933333,7.277,
2.04154583,71.15943056,8.55,
2.04909583,-59.06319167,8.2,
2.04985833,-70.05591944,8.8,
2.04927083,-38.28155278,9.996,
2.05043333,-2.44771667,6.106,
2.05450417,-43.64682778,10.26,
2.05709167,-49.72182222,7.8,
2.05705417,29.73227778,8.6,
2.06107083,42.22343333,8.603,
2.06825833,-14.82454167,7.04,
2.07043333,34.495175,8.78,
2.07285833,-8.82408333,5.987,
2.07779167,-32.70115278,8.3,
2.08716667,-42.94333333,9.6,
2.0923875,3.44071111,8.05,
2.09467917,21.92434444,8.9,
2.0969375,29.09043889,2.073,
2.09637083,-19.22420833,9.1,
2.101475,50.24544444,8,
2.10334167,-57.19511389,8.8,
2.10546667,-51.40088333,9.43,
2.10725,6.61673611,7.578,
2.10818333,41.95799167,8.6,
2.11052917,-44.27369722,9.862,
2.1121625,-53.44311389,9.28,
2.11299583,-30.06861111,9.5,
2.11377083,17.42433889,10.73,
2.11534583,-24.09378333,7.594,
2.11864583,34.93451667,7.409,
2.12375,-66.51419167,9.3,
2.1259125,52.33644167,7.782,
2.12877083,-6.79221111,7.8,
2.13005,20.26740556,8.6,
2.13141667,11.17141111,8.7,
2.1366375,63.20414722,6.414,
2.13966667,-17.578175,6.063,
2.14756667,53.25414167,7.752,
2.16135417,-74.23842778,7.3,
2.17065,36.62709444,6.17,
2.17967083,-2.22258611,7.3,
2.18267917,74.21469722,7.5,
2.18732083,-52.32812778,8.37,
2.19079583,-86.18865556,11.7,
2.19109167,14.14185556,7.815,
2.20791667,86.787925,8.37,
2.19245,-34.79440833,7.878,
2.194275,-66.75949444,9.1,
2.19489167,-36.74420833,8.643,
2.20217083,-47.06086111,7.811,
2.20320833,8.02180556,7.435,
2.2047,-7.89711111,8.7,
2.20791667,40.84097222,7.8,
2.2079625,-60.26462222,9.7,
2.20835833,40.49441667,6.9,
2.21608333,-25.54762778,10.23,
2.217075,25.46303611,6.241,
2.21772917,0.69248056,7.6,
2.22021667,-42.91805833,10.52,
2.22060417,-35.81923889,9.3,
2.22355,-22.179525,7.12,
2.23039167,-26.22365278,9.17,
2.235825,12.80438611,8.475,
2.23832917,66.4567,8.652,
2.246625,-21.20630556,7.1,
2.24795833,34.36782222,9.6,
2.24889583,-39.73731111,7.719,
2.2494875,49.85813056,7.7,
2.250675,28.24753056,6.479,
2.259975,18.21183056,5.561,
2.2603375,-54.00163056,6.324,
2.26158333,27.65188889,11.65,
2.26125833,-35.09176389,7.781,
2.26200833,9.85006944,8.7,
2.26172083,-24.33489722,10.374,
2.26303333,22.66437778,9.3,
2.26402917,-59.28105,9.1,
2.26543333,40.84294444,7.1,
2.26808333,-27.12236111,11.73,
2.2665875,-28.33003889,9.321,
2.26789167,19.92476944,7.196,
2.27391667,-36.65078611,9.6,
2.27669583,-50.60794722,8.1,
2.27908333,-50.01361667,8.2,
2.285625,-50.16683333,7.043,
2.28885833,-38.28984722,9.261,
2.421925,57.25948889,9.1,
2.2945625,59.14977222,2.268,
2.29245833,44.72172222,8,
2.2959875,21.05930556,9.277,
2.29772917,-31.47775833,9.2,
2.2985,44.72272222,9.2,
2.30347917,42.25448611,10.2,
2.3042,-0.75215278,9.4,
2.31172917,32.47642222,9.6,
2.31554167,25.28183333,7.77,
2.31964167,65.07089444,7.01,
2.32535833,-37.38228333,11.9,
2.32732917,-59.06044444,8.8,
2.32984583,-41.88643889,9.6,
2.33101667,17.53397778,7.127,
2.3337375,79.71463056,6.01,
2.33765,-27.98788611,5.402,
2.34757083,-41.04459167,9.114,
2.34747917,58.66583056,8.24,
2.34957083,14.41747222,8.6,
2.35274583,-45.74744167,3.876,
2.352475,0.07198333,8.8,
2.36514583,46.38801667,7,
2.36713333,19.11575,7.94,
2.36693333,1.24400278,7.28,
2.36722917,-12.0349,9.585,
2.37685417,-10.18751111,7.97,
2.37764167,-34.11110556,8.5,
2.37897083,19.559225,7.7,
2.38459167,-40.64953056,8.8,
2.392075,-66.02977222,8,
2.39588333,-46.37525,9.8,
2.39665833,-21.38186667,8.6,
2.40157917,-51.73694722,10,
2.40155833,62.66781667,8.92,
2.40176667,26.68203056,8.8,
2.40345833,51.56597222,11.8,
2.4135,-56.19191667,8.2,
2.41567917,-32.07895833,9.2,
2.422675,-63.589625,7.3,
2.42312083,-37.31488333,8.345,
2.43235833,-31.825375,9.526,
2.4319,-3.67839444,9.59,
2.443,36.47356111,9.9,
2.45192917,19.38111944,8.5,
2.45247917,-40.89301667,8.74,
2.4530375,-6.84120556,8.3,
2.4584125,53.52661389,8,
2.45858333,-33.78916667,8.821,
2.46470833,8.45316667,8.4,
2.46420417,61.51406111,11.09,
2.46570833,11.41613889,8.37,
2.46706667,-62.29683056,6.341,
2.4685,12.71081667,7.9,
2.4686125,51.42314722,7.91,
2.47025417,-50.26789722,8.2,
2.4792,4.83253056,7.883,
2.47926667,-2.56135278,6.85,
2.48450833,-78.5908,8.8,
2.48683333,-44.6666,7.5,
2.488,4.16606389,8.533,
2.4895,8.57683333,8.7,
2.490275,43.43847778,8.8,
2.49240833,-65.357025,7.9,
2.49618333,-25.87465556,7.65,
2.50216667,-28.48238889,10.31,
