frequency	power
1418.90575	2.9145671760488767e-06
1418.9086796875	2.9042706728432677e-06
1418.911609375	2.861255779862404e-06
1418.9145390625	2.841854779944697e-06
1418.91746875	2.8183060294395545e-06
1418.9203984375	2.8338824904494686e-06
1418.923328125	2.806080146910972e-06
1418.9262578125	2.789051904983353e-06
1418.9291875	2.8068354822607944e-06
1418.9321171875	2.8158439135950175e-06
1418.935046875	2.8115705390518997e-06
1418.9379765625	2.867130660888506e-06
1418.94090625	2.841120476659853e-06
1418.9438359375	2.898902380366053e-06
1418.946765625	2.9161610655137338e-06
1418.9496953125	2.9430384529405273e-06
1418.952625	2.9884262175983167e-06
1418.9555546875	3.0254240073190886e-06
1418.958484375	3.097052285738755e-06
1418.9614140625	3.182125055900542e-06
1418.96434375	3.2130851650435943e-06
1418.9672734375	3.2704650720916106e-06
1418.970203125	3.3252449611609336e-06
1418.9731328125	3.3944600090762833e-06
1418.9760625	3.468605882517295e-06
1418.9789921875	3.541570549714379e-06
1418.981921875	3.6702815577882575e-06
1418.9848515625	3.750328232854372e-06
1418.98778125	3.925294549844693e-06
1418.9907109375	5.247380613582209e-06
1418.993640625	4.484307737584459e-06
1418.9965703125	4.0743038880464155e-06
1418.9995	4.349472874309868e-06
1419.0024296875	4.287635192667949e-06
1419.005359375	4.391057700559031e-06
1419.0082890625	4.4639671159529826e-06
1419.01121875	4.571093995764386e-06
1419.0141484375	4.7185835683194455e-06
1419.017078125	4.801262093678815e-06
1419.0200078125	4.879936113866279e-06
1419.0229375	5.0309324706176994e-06
1419.0258671875	5.168604502614471e-06
1419.028796875	5.325757001628517e-06
1419.0317265625	5.45087414138834e-06
1419.03465625	5.549942216021009e-06
1419.0375859375	5.666703145834617e-06
1419.040515625	5.86110718359123e-06
1419.0434453125	5.95766732658376e-06
1419.046375	6.195605465109111e-06
1419.0493046875	6.336407295748359e-06
1419.052234375	6.3991387833084445e-06
1419.0551640625	6.6635441271500895e-06
1419.05809375	7.0697851697332226e-06
1419.0610234375	7.24976143828826e-06
