frequency	power
1418.90575	1.2350168958619179e-06
1418.9086796875	1.2298676210775739e-06
1418.911609375	1.2147045254096156e-06
1418.9145390625	1.203518422698835e-06
1418.91746875	1.206674369313987e-06
1418.9203984375	1.194401647808263e-06
1418.923328125	1.1896424894075608e-06
1418.9262578125	1.188927285511454e-06
1418.9291875	1.1955196441704175e-06
1418.9321171875	1.2036369980705786e-06
1418.935046875	1.2040728734064032e-06
1418.9379765625	1.1986446679657092e-06
1418.94090625	1.2144439551775577e-06
1418.9438359375	1.2276914276299067e-06
1418.946765625	1.257073108718032e-06
1418.9496953125	1.2920741028210614e-06
1418.952625	1.2861954701293143e-06
1418.9555546875	1.3273029821903037e-06
1418.958484375	1.3360367461245914e-06
1418.9614140625	1.346279930203309e-06
1418.96434375	1.3675493164555519e-06
1418.9672734375	1.3925832718086895e-06
1418.970203125	1.438710569345858e-06
1418.9731328125	1.4698725863127038e-06
1418.9760625	1.4852616345706338e-06
1418.9789921875	1.536300260340795e-06
1418.981921875	1.5802877442183672e-06
1418.9848515625	1.6052944147304515e-06
1418.98778125	1.7285240119235823e-06
1418.9907109375	2.373774577790755e-06
1418.993640625	1.9079973299085395e-06
1418.9965703125	1.776391741259431e-06
1418.9995	1.8722045069807791e-06
1419.0024296875	1.8365358300798107e-06
1419.005359375	1.8814926647792163e-06
1419.0082890625	1.9337539924890734e-06
1419.01121875	2.018035502260318e-06
1419.0141484375	2.0688609083663323e-06
1419.017078125	2.0768279682670254e-06
1419.0200078125	2.1890515427003265e-06
1419.0229375	2.179574039473664e-06
1419.0258671875	2.207348870797432e-06
1419.028796875	2.2939891550777247e-06
1419.0317265625	2.345564325878513e-06
1419.03465625	2.360520511501818e-06
1419.0375859375	2.5457727588218404e-06
1419.040515625	2.565847353253048e-06
1419.0434453125	2.710367311919981e-06
1419.046375	3.851559085887857e-06
1419.0493046875	3.0020601116120815e-06
1419.052234375	3.0861385766911553e-06
1419.0551640625	3.7319831562854233e-06
1419.05809375	3.2492880563950166e-06
1419.0610234375	3.254622242820915e-06
1419.063953125	3.0752930797461886e-06
1419.0668828125	3.0653894782517455e-06
1419.0698125	3.149404392388533e-06
1419.0727421875	3.2029752219386864e-06
1419.075671875	3.2744999316491885e-06
1419.0786015625	3.34424430548097e-06
1419.08153125	3.4318381949560717e-06
1419.0844609375	3.470764113444602e-06
1419.087390625	3.54697795046377e-06
1419.0903203125	3.6217788874637336e-06
1419.09325	3.689687218866311e-06
1419.0961796875	3.7491440707526635e-06
1419.099109375	3.826720103461412e-06
1419.1020390625	3.915464958481607e-06
1419.10496875	3.97909025195986e-06
1419.1078984375	4.0888651255954755e-06
1419.110828125	4.162796358286869e-06
1419.1137578125	4.5743522605334874e-06
1419.1166875	4.604056812240742e-06
1419.1196171875	4.385859483591048e-06
1419.122546875	4.573010073727346e-06
1419.1254765625	4.638594873540569e-06
1419.12840625	4.7483590606134385e-06
1419.1313359375	4.677633796745795e-06
1419.134265625	4.7202138375723734e-06
1419.1371953125	4.861097295361105e-06
1419.140125	4.932903721055482e-06
1419.1430546875	5.0083644964615814e-06
1419.145984375	5.043744295107899e-06
1419.1489140625	5.149129265191732e-06
1419.15184375	5.2690902521135285e-06
1419.1547734375	5.349278126232093e-06
1419.157703125	5.425308927442529e-06
1419.1606328125	5.456915005197516e-06
1419.1635625	5.583040774581605e-06
1419.1664921875	5.765841478932998e-06
1419.169421875	5.796977802674519e-06
1419.1723515625	5.848992032042588e-06
1419.17528125	6.202816166478442e-06
1419.1782109375	6.183689947647508e-06
1419.181140625	6.3189645516104065e-06
1419.1840703125	6.648320550084463e-06
1419.187	6.265932825044729e-06
1419.1899296875	6.405280146282166e-06
1419.192859375	6.499843721030629e-06
1419.1957890625	6.604632289963774e-06
1419.19871875	6.725656930939294e-06
1419.2016484375	6.783946673749597e-06
1419.204578125	6.8044050749449525e-06
1419.2075078125	6.9451562012545764e-06
1419.2104375	7.055110472720116e-06
1419.2133671875	7.119527026588912e-06
1419.216296875	7.1704789661453106e-06
1419.2192265625	7.26007237972226e-06
1419.22215625	7.306788575078826e-06
1419.2250859375	7.427491254929919e-06
1419.228015625	7.52756864130788e-06
1419.2309453125	7.61394562687201e-06
1419.233875	7.708350494795013e-06
1419.2368046875	7.78838557380368e-06
1419.239734375	7.883459602453513e-06
1419.2426640625	8.048751624301076e-06
1419.24559375	8.119216545310337e-06
1419.2485234375	8.153804628818762e-06
1419.251453125	8.382156920561101e-06
1419.2543828125	8.301998605020344e-06
1419.2573125	8.424066436418798e-06
1419.2602421875	8.499755494995043e-06
1419.263171875	8.586848707636818e-06
1419.2661015625	8.697653811395867e-06
1419.26903125	8.759385309531353e-06
1419.2719609375	8.879344022716396e-06
1419.274890625	8.9472150648362e-06
1419.2778203125	9.083665645448491e-06
1419.28075	9.130374564847443e-06
1419.2836796875	9.130734724749345e-06
1419.286609375	9.244209650205448e-06
1419.2895390625	9.2873019639228e-06
1419.29246875	9.433208106202073e-06
1419.2953984375	9.520150342723355e-06
1419.298328125	9.650540960137732e-06
1419.3012578125	9.719483387016226e-06
1419.3041875	9.707577646622667e-06
1419.3071171875	9.857834811555222e-06
1419.310046875	9.939114988810616e-06
1419.3129765625	1.0171459052799037e-05
1419.31590625	1.1637403076747432e-05
1419.3188359375	1.070907455869019e-05
1419.321765625	1.0280562491971068e-05
1419.3246953125	1.0315157851437107e-05
1419.327625	1.040236747940071e-05
1419.3305546875	1.0440153346280567e-05
1419.333484375	1.0549566468398552e-05
1419.3364140625	1.0669506536942208e-05
1419.33934375	1.0688514521461911e-05
1419.3422734375	1.0734875104390085e-05
1419.345203125	1.0890650628425647e-05
1419.3481328125	1.090615023713326e-05
1419.3510625	1.0940927040792303e-05
1419.3539921875	1.1062977137044072e-05
1419.356921875	1.1168422133778222e-05
1419.3598515625	1.1147851182613522e-05
1419.36278125	1.1204940165043809e-05
1419.3657109375	1.1314317816868424e-05
1419.368640625	1.1402449217712274e-05
1419.3715703125	1.1480535249575041e-05
1419.3745	1.1529683433764149e-05
1419.3774296875	1.1516272934386507e-05
1419.380359375	1.1706119948939886e-05
1419.3832890625	1.1920352335437201e-05
1419.38621875	1.1901823199877981e-05
1419.3891484375	1.1825670753751183e-05
1419.392078125	1.1855963748530485e-05
1419.3950078125	1.1946014637942426e-05
1419.3979375	1.2004403288301546e-05
1419.4008671875	1.2011829312541522e-05
1419.403796875	1.2084911759302486e-05
1419.4067265625	1.2192640042485436e-05
1419.40965625	1.2183584203739883e-05
1419.4125859375	1.2211764442326967e-05
1419.415515625	1.2290586255403468e-05
1419.4184453125	1.2368926945782732e-05
1419.421375	1.2350579254416516e-05
1419.4243046875	1.2449952009774279e-05
1419.427234375	1.2372433047858067e-05
1419.4301640625	1.2498458090703934e-05
1419.43309375	1.259139935427811e-05
1419.4360234375	1.2622889244084945e-05
1419.438953125	1.2661339042097097e-05
1419.4418828125	1.2582354429468978e-05
1419.4448125	1.260007957171183e-05
1419.4477421875	1.2704981600109022e-05
1419.450671875	1.2897842225356726e-05
1419.4536015625	1.2835905181418639e-05
1419.45653125	1.279437947232509e-05
1419.4594609375	1.2829075785703026e-05
1419.462390625	1.280380820389837e-05
1419.4653203125	1.2852886356995441e-05
1419.46825	1.2913487807963975e-05
