frequency	power
1418.90575	1.2116946663809358e-06
1418.9086796875	1.1988699952780735e-06
1418.911609375	1.180178173854074e-06
1418.9145390625	1.1681099749694113e-06
1418.91746875	1.1754320894397097e-06
1418.9203984375	1.167977757177141e-06
1418.923328125	1.1634334100563137e-06
1418.9262578125	1.1710924354702001e-06
1418.9291875	1.1720653674274217e-06
1418.9321171875	1.2475542803258577e-06
1418.935046875	1.4140107396087842e-06
1418.9379765625	1.2457890079531353e-06
1418.94090625	1.2741634236590471e-06
1418.9438359375	1.2224204510857817e-06
1418.946765625	1.7809747987485025e-06
1418.9496953125	1.7880388440971728e-06
1418.952625	1.3661731372849317e-06
1418.9555546875	2.4261554472104763e-06
1418.958484375	1.7496462305643945e-06
1418.9614140625	1.35104613718795e-06
1418.96434375	1.4840028370599612e-06
1418.9672734375	1.4142684676698991e-06
1418.970203125	1.4434270951824146e-06
1418.9731328125	1.5002495956650819e-06
1418.9760625	1.4884819847793551e-06
1418.9789921875	1.5327224787142768e-06
1418.981921875	1.5983487173798494e-06
1418.9848515625	1.62298283612472e-06
1418.98778125	1.6563119515922153e-06
1418.9907109375	2.0145878352195723e-06
1418.993640625	1.7986496345656633e-06
1418.9965703125	1.7317003084826865e-06
1418.9995	1.8012828491009714e-06
1419.0024296875	1.8883280290538096e-06
1419.005359375	1.8861778130485618e-06
1419.0082890625	1.860482370830141e-06
1419.01121875	1.911307435875642e-06
1419.0141484375	1.9678120679600397e-06
1419.017078125	2.0027805476274807e-06
1419.0200078125	2.0464055978663964e-06
1419.0229375	2.1033799839642597e-06
1419.0258671875	2.158854385925224e-06
1419.028796875	2.230023028459982e-06
1419.0317265625	2.28791031986475e-06
1419.03465625	2.321259444215684e-06
1419.0375859375	2.4256983124359977e-06
1419.040515625	2.4512919480912387e-06
1419.0434453125	2.5037854811671423e-06
1419.046375	2.646802386152558e-06
1419.0493046875	2.67159111899673e-06
1419.052234375	2.7408229925640626e-06
1419.0551640625	2.856097921721812e-06
1419.05809375	3.0570536182494834e-06
1419.0610234375	3.0904951699994854e-06
1419.063953125	2.936070018222381e-06
1419.0668828125	3.0112255444691982e-06
1419.0698125	3.0650586495539756e-06
1419.0727421875	3.172201786583173e-06
1419.075671875	3.344649940117961e-06
1419.0786015625	3.2924118613664177e-06
1419.08153125	3.461260803305777e-06
1419.0844609375	3.605863639677409e-06
1419.087390625	3.429213847994106e-06
1419.0903203125	3.515578782753437e-06
1419.09325	3.601227717808797e-06
1419.0961796875	3.640857130449149e-06
1419.099109375	3.740070951607777e-06
