frequency	power
1418.90575	1.2418406640790636e-06
1418.9086796875	1.2232204085194098e-06
1418.911609375	1.2127865147704142e-06
1418.9145390625	1.1996969533356605e-06
1418.91746875	1.2039781722705811e-06
1418.9203984375	1.1881703017024847e-06
1418.923328125	1.191317551274551e-06
1418.9262578125	1.1868920637425617e-06
1418.9291875	1.1863401141454233e-06
1418.9321171875	1.1927006653422723e-06
1418.935046875	1.20795908742366e-06
1418.9379765625	1.2014063486276427e-06
1418.94090625	1.209604874929937e-06
1418.9438359375	1.2173443337815115e-06
1418.946765625	1.2419616268743994e-06
1418.9496953125	1.2663754205277655e-06
1418.952625	1.2721664006676292e-06
1418.9555546875	1.3015856552556215e-06
1418.958484375	1.3101033573548193e-06
1418.9614140625	1.3248719596958836e-06
1418.96434375	1.3603767001768574e-06
1418.9672734375	1.3933072295913007e-06
1418.970203125	1.4167104609441594e-06
1418.9731328125	1.460596536162484e-06
1418.9760625	1.4920572084520245e-06
1418.9789921875	1.506920852989424e-06
1418.981921875	1.5532580164290266e-06
1418.9848515625	1.5925311345199589e-06
1418.98778125	1.6783582168500288e-06
1418.9907109375	2.0924535419908352e-06
1418.993640625	1.8119464471055835e-06
1418.9965703125	1.7544997490404057e-06
1418.9995	1.8291318610863527e-06
1419.0024296875	1.8621267940943653e-06
1419.005359375	1.8791517959471093e-06
1419.0082890625	1.8957279621645284e-06
1419.01121875	1.939848857546167e-06
1419.0141484375	2.020512738454272e-06
1419.017078125	2.0343574078651727e-06
1419.0200078125	2.073302994176629e-06
1419.0229375	2.162190867238678e-06
1419.0258671875	2.1838895918335766e-06
1419.028796875	2.261062945763115e-06
1419.0317265625	2.3558473003504332e-06
1419.03465625	2.351330294914078e-06
1419.0375859375	2.5549315978423692e-06
1419.040515625	2.5639521936682286e-06
1419.0434453125	2.7382351390770054e-06
1419.046375	4.266473524694447e-06
1419.0493046875	3.0973130833444884e-06
1419.052234375	3.1976449008652708e-06
1419.0551640625	4.057783826283412e-06
1419.05809375	3.1616821161151165e-06
