frequency	power
1418.90575	1.1599794333960745e-06
1418.9086796875	1.149216700468969e-06
1418.911609375	1.1377309192539542e-06
1418.9145390625	1.1223208389310457e-06
1418.91746875	1.1215878430448356e-06
1418.9203984375	1.1199553000551532e-06
1418.923328125	1.1226516676288156e-06
1418.9262578125	1.1127922334708273e-06
1418.9291875	1.109453023673268e-06
1418.9321171875	1.115477061830461e-06
1418.935046875	1.1301497124804882e-06
1418.9379765625	1.1273297104708035e-06
1418.94090625	1.1316723771415127e-06
1418.9438359375	1.1416859706514515e-06
1418.946765625	1.16044071774013e-06
1418.9496953125	1.177418766928895e-06
1418.952625	1.1928914318559691e-06
1418.9555546875	1.2346625339887396e-06
1418.958484375	1.2540064062704914e-06
1418.9614140625	1.2515818639258214e-06
1418.96434375	1.2784745422322885e-06
1418.9672734375	1.3032636161369737e-06
1418.970203125	1.3150329323252663e-06
1418.9731328125	1.3533305036617094e-06
1418.9760625	1.4082139045967779e-06
1418.9789921875	1.4219202739695902e-06
1418.981921875	1.466246033032803e-06
1418.9848515625	1.499820712069777e-06
1418.98778125	1.5928772540974023e-06
1418.9907109375	2.4210721676354297e-06
1418.993640625	1.8722990375863446e-06
1418.9965703125	1.643332097955863e-06
1418.9995	1.7505697087472072e-06
1419.0024296875	1.6994116549540195e-06
1419.005359375	1.7398381260136375e-06
1419.0082890625	1.7764511426321405e-06
1419.01121875	1.8162324977311073e-06
1419.0141484375	1.8644440160642262e-06
1419.017078125	1.9010732330571045e-06
1419.0200078125	1.9487347344693262e-06
1419.0229375	1.9919266378565226e-06
1419.0258671875	2.047909447355778e-06
1419.028796875	2.114327344315825e-06
1419.0317265625	2.1601442767860135e-06
1419.03465625	2.199055074925127e-06
1419.0375859375	2.2689109755447134e-06
1419.040515625	2.3022744244372007e-06
1419.0434453125	2.3886111648607766e-06
1419.046375	2.578759904281469e-06
1419.0493046875	2.5235314069504966e-06
1419.052234375	2.574086465756409e-06
1419.0551640625	2.7372011572879273e-06
1419.05809375	2.9106920464982977e-06
1419.0610234375	2.9894044928369112e-06
1419.063953125	2.786745312732819e-06
1419.0668828125	2.8559771863001515e-06
1419.0698125	2.911199999289238e-06
1419.0727421875	2.9550186582127935e-06
1419.075671875	3.042920866391796e-06
1419.0786015625	3.084747277171118e-06
1419.08153125	3.1820261483517243e-06
1419.0844609375	3.2445642546008457e-06
1419.087390625	3.252700253142393e-06
1419.0903203125	3.306402959424304e-06
1419.09325	3.4360242580078193e-06
1419.0961796875	3.5136877158947755e-06
1419.099109375	3.5717639548238367e-06
1419.1020390625	3.620905204115843e-06
1419.10496875	3.7052991501695942e-06
1419.1078984375	3.7679358229070203e-06
1419.110828125	3.7804147723363712e-06
1419.1137578125	3.920063818441122e-06
1419.1166875	4.033592176710954e-06
1419.1196171875	4.037166036141571e-06
1419.122546875	4.1546309148543514e-06
1419.1254765625	4.288835043553263e-06
1419.12840625	4.562872163660359e-06
1419.1313359375	4.39803352492163e-06
1419.134265625	4.436011749930913e-06
1419.1371953125	4.490754690777976e-06
1419.140125	4.599623025569599e-06
1419.1430546875	4.665952246796223e-06
1419.145984375	4.7526564230793156e-06
1419.1489140625	4.8256297304760665e-06
1419.15184375	4.892481456408859e-06
1419.1547734375	4.995047902411898e-06
1419.157703125	5.099062491353834e-06
1419.1606328125	5.181945653021103e-06
1419.1635625	5.186218459130032e-06
1419.1664921875	5.300525799611933e-06
1419.169421875	5.374780812417157e-06
1419.1723515625	5.445710257845349e-06
1419.17528125	5.632594366034027e-06
1419.1782109375	5.6040353229036555e-06
1419.181140625	5.712856818718137e-06
1419.1840703125	5.906528258492472e-06
1419.187	5.841293386765756e-06
1419.1899296875	5.961458327874425e-06
1419.192859375	6.034928446752019e-06
1419.1957890625	6.181887329148594e-06
1419.19871875	6.18580952504999e-06
1419.2016484375	6.237118213903159e-06
1419.204578125	6.373777978296857e-06
1419.2075078125	6.4783182551764185e-06
1419.2104375	6.550236093971762e-06
1419.2133671875	6.568236585735576e-06
1419.216296875	6.718456006638007e-06
1419.2192265625	6.768167622794863e-06
1419.22215625	6.813696018070914e-06
1419.2250859375	6.919457518961281e-06
1419.228015625	6.950132046767976e-06
1419.2309453125	7.041605840640841e-06
