frequency	power
1418.90575	4.387759872770403e-06
1418.9086796875	4.338035296314047e-06
1418.911609375	4.311826160119381e-06
1418.9145390625	4.25585358243552e-06
1418.91746875	4.2014607970486395e-06
1418.9203984375	4.182998054602649e-06
1418.923328125	4.15454314861563e-06
1418.9262578125	4.144952526985435e-06
1418.9291875	4.137922587688081e-06
1418.9321171875	4.166651706327684e-06
1418.935046875	4.23466190113686e-06
1418.9379765625	4.214962018522783e-06
1418.94090625	4.280631173969596e-06
1418.9438359375	4.351553798187524e-06
1418.946765625	4.404725586937275e-06
1418.9496953125	4.403079401527066e-06
1418.952625	4.498452199186431e-06
1418.9555546875	4.519116373558063e-06
1418.958484375	4.611667918652529e-06
1418.9614140625	4.6737677621422336e-06
1418.96434375	4.831860678677913e-06
1418.9672734375	4.937219273415394e-06
1418.970203125	5.031296495872084e-06
1418.9731328125	5.099664122099057e-06
1418.9760625	5.180454536457546e-06
1418.9789921875	5.33841648575617e-06
1418.981921875	5.440472705231514e-06
1418.9848515625	5.58958663532394e-06
1418.98778125	5.766135927842697e-06
1418.9907109375	6.107345598138636e-06
1418.993640625	6.0128022596472874e-06
1418.9965703125	6.033257704984862e-06
1418.9995	6.268140623433283e-06
1419.0024296875	6.414597464754479e-06
1419.005359375	6.565300736838253e-06
1419.0082890625	6.710915840812959e-06
1419.01121875	6.860685971332714e-06
1419.0141484375	7.051652573863976e-06
1419.017078125	7.1527874752064236e-06
1419.0200078125	7.3439173320366535e-06
1419.0229375	7.5658183504856424e-06
1419.0258671875	7.719019777141511e-06
1419.028796875	7.981627732078778e-06
1419.0317265625	8.221345979109174e-06
1419.03465625	8.416693162871525e-06
1419.0375859375	8.598972272011451e-06
1419.040515625	8.813469321466982e-06
1419.0434453125	8.95458106242586e-06
1419.046375	9.439994755666703e-06
1419.0493046875	9.590285117155872e-06
1419.052234375	9.670118743088096e-06
1419.0551640625	1.0055226084659807e-05
1419.05809375	1.0207570994680282e-05
1419.0610234375	1.0320620731363306e-05
1419.063953125	1.0518784620217048e-05
1419.0668828125	1.0713023584685288e-05
1419.0698125	1.092309912564815e-05
1419.0727421875	1.1176246971444925e-05
1419.075671875	1.1456225820438704e-05
1419.0786015625	1.1713308140315348e-05
1419.08153125	1.186850386147853e-05
1419.0844609375	1.2215672086313134e-05
1419.087390625	1.2466360203688964e-05
1419.0903203125	1.272578265343327e-05
1419.09325	1.3063065580354305e-05
1419.0961796875	1.3209141343395459e-05
1419.099109375	1.34807141876081e-05
1419.1020390625	1.3768838471150957e-05
1419.10496875	1.401648569299141e-05
1419.1078984375	1.4362291040015407e-05
1419.110828125	1.4522307537845336e-05
1419.1137578125	1.4883718449709704e-05
1419.1166875	1.5174212876445381e-05
1419.1196171875	1.5455068023584317e-05
1419.122546875	1.5810297554708086e-05
1419.1254765625	1.6103783309517894e-05
1419.12840625	1.6333792700606864e-05
1419.1313359375	1.6661604604450986e-05
1419.134265625	1.6917631910473574e-05
1419.1371953125	1.7084466890082695e-05
1419.140125	1.7423568351659924e-05
1419.1430546875	1.778913792804815e-05
1419.145984375	1.806822638172889e-05
1419.1489140625	1.8448518858349416e-05
1419.15184375	1.8585400539450347e-05
1419.1547734375	1.8915241525974125e-05
1419.157703125	1.9295155652798712e-05
1419.1606328125	1.9551785953808576e-05
1419.1635625	1.99169953702949e-05
1419.1664921875	2.0251129171811044e-05
1419.169421875	2.042957112280419e-05
1419.1723515625	2.091023270622827e-05
