frequency	power
1418.90575	4.067275312991114e-06
1418.9086796875	4.034535777464043e-06
1418.911609375	3.984285740443738e-06
1418.9145390625	3.93209484172985e-06
1418.91746875	3.890310381393647e-06
1418.9203984375	3.901810487150215e-06
1418.923328125	3.872995876008645e-06
1418.9262578125	3.876371465594275e-06
1418.9291875	3.880142685375176e-06
1418.9321171875	3.912105512426933e-06
1418.935046875	3.911593012162484e-06
1418.9379765625	3.923152689822018e-06
1418.94090625	3.9436047245544614e-06
1418.9438359375	3.98683641833486e-06
1418.946765625	4.072020601597615e-06
1418.9496953125	4.138860276725609e-06
1418.952625	4.185040779702831e-06
1418.9555546875	4.195933797745965e-06
1418.958484375	4.289406206225976e-06
1418.9614140625	4.3546078813960776e-06
1418.96434375	4.420295908857952e-06
1418.9672734375	4.535485913947923e-06
1418.970203125	4.633339813153725e-06
1418.9731328125	4.714223905466497e-06
1418.9760625	4.834103492612485e-06
1418.9789921875	4.921997970086522e-06
1418.981921875	5.082614052298595e-06
1418.9848515625	5.185874670132762e-06
1418.98778125	5.395148946263362e-06
1418.9907109375	6.942279469512869e-06
1418.993640625	6.196100912347902e-06
1418.9965703125	5.715140105166938e-06
1418.9995	6.0394331740099005e-06
1419.0024296875	5.974427722321707e-06
1419.005359375	6.061682142899372e-06
1419.0082890625	6.2049073221714934e-06
1419.01121875	6.3443483213632135e-06
1419.0141484375	6.51244045002386e-06
1419.017078125	6.672973086097045e-06
1419.0200078125	6.810237209720071e-06
1419.0229375	7.034976988506969e-06
1419.0258671875	7.199483661679551e-06
1419.028796875	7.350607575062895e-06
1419.0317265625	7.526266017521266e-06
1419.03465625	7.684755018999567e-06
1419.0375859375	7.883146281528752e-06
1419.040515625	8.099428214336513e-06
1419.0434453125	8.285689546028152e-06
1419.046375	8.48547733767191e-06
1419.0493046875	8.677617188368458e-06
1419.052234375	8.86245879883063e-06
1419.0551640625	9.12442737899255e-06
1419.05809375	9.745132047100924e-06
1419.0610234375	1.0000733709603082e-05
1419.063953125	9.694149866845692e-06
1419.0668828125	9.986446457332931e-06
1419.0698125	1.021301295622834e-05
1419.0727421875	1.0440555342938751e-05
1419.075671875	1.0560752343735658e-05
1419.0786015625	1.083902998288977e-05
1419.08153125	1.1097861715825275e-05
1419.0844609375	1.1310727131785825e-05
1419.087390625	1.1504654139571358e-05
1419.0903203125	1.1729785001080018e-05
1419.09325	1.1952272416237975e-05
