frequency	power
1418.90575	1.2927075658808462e-06
1418.9086796875	1.2857877891292446e-06
1418.911609375	1.280698825212312e-06
1418.9145390625	1.2629311640921514e-06
1418.91746875	1.2573292451634188e-06
1418.9203984375	1.2418987012097205e-06
1418.923328125	1.2431544291757746e-06
1418.9262578125	1.2429954949766397e-06
1418.9291875	1.2447922017599922e-06
1418.9321171875	1.3214383329795965e-06
1418.935046875	1.450740228392533e-06
1418.9379765625	1.2927956731800805e-06
1418.94090625	1.3069889632788545e-06
1418.9438359375	1.290632667405589e-06
1418.946765625	1.5910524098217138e-06
1418.9496953125	1.6088836218841607e-06
1418.952625	1.3912282952333044e-06
1418.9555546875	1.9968836113548605e-06
1418.958484375	1.631522536627017e-06
1418.9614140625	1.4227329074856243e-06
1418.96434375	1.5116328313524718e-06
1418.9672734375	1.5116604572540382e-06
1418.970203125	1.533184672553034e-06
1418.9731328125	1.5751370483485516e-06
1418.9760625	1.5936454929033061e-06
1418.9789921875	1.6156101310116355e-06
1418.981921875	1.7441049067201675e-06
1418.9848515625	1.8462055777490605e-06
1418.98778125	1.7494061239631264e-06
1418.9907109375	2.257380174341961e-06
1418.993640625	1.984334176086122e-06
1418.9965703125	1.8556359009380685e-06
1418.9995	1.9553026504581794e-06
1419.0024296875	2.0129114091105293e-06
1419.005359375	2.005442183872219e-06
1419.0082890625	2.007520151892095e-06
1419.01121875	2.0533032056846423e-06
1419.0141484375	2.102625558109139e-06
1419.017078125	2.1213418222032487e-06
1419.0200078125	2.183926540055836e-06
1419.0229375	2.240710728074191e-06
1419.0258671875	2.3006757601251593e-06
1419.028796875	2.356418235649471e-06
1419.0317265625	2.421618432890682e-06
1419.03465625	2.44978696173348e-06
1419.0375859375	2.5658119966465165e-06
1419.040515625	2.6166640054725576e-06
1419.0434453125	2.690374685698771e-06
1419.046375	2.8090676096326206e-06
1419.0493046875	2.826636091413093e-06
1419.052234375	2.9812522370775696e-06
1419.0551640625	3.0414455522986827e-06
1419.05809375	3.2428013128082966e-06
1419.0610234375	3.2974439818644896e-06
1419.063953125	3.126563115074532e-06
1419.0668828125	3.178608153575624e-06
1419.0698125	3.2791690500744153e-06
1419.0727421875	3.408017619221937e-06
1419.075671875	3.6509911751636537e-06
1419.0786015625	3.5258092339063296e-06
1419.08153125	3.7471809264388867e-06
1419.0844609375	3.889859044647892e-06
1419.087390625	3.6699998418043833e-06
1419.0903203125	3.757048489205772e-06
1419.09325	3.8141624827403575e-06
1419.0961796875	3.890598918587784e-06
1419.099109375	3.982245516453986e-06
1419.1020390625	4.0502277443010826e-06
1419.10496875	4.1111729842668865e-06
1419.1078984375	4.203526941637392e-06
1419.110828125	4.289235221222043e-06
1419.1137578125	4.398341843625531e-06
1419.1166875	4.517090019362513e-06
1419.1196171875	4.584212547342759e-06
1419.122546875	4.70964459964307e-06
1419.1254765625	4.762663593282923e-06
1419.12840625	4.958308636560105e-06
1419.1313359375	4.937332050758414e-06
1419.134265625	4.974625426257262e-06
1419.1371953125	5.048552566222497e-06
1419.140125	5.152868880031747e-06
1419.1430546875	5.291833986120764e-06
1419.145984375	5.33011393599736e-06
1419.1489140625	5.395406105890288e-06
1419.15184375	5.471616987051675e-06
1419.1547734375	5.578755008173175e-06
1419.157703125	5.631966814689804e-06
1419.1606328125	5.7787433433986735e-06
1419.1635625	5.887453880859539e-06
1419.1664921875	6.052820026525296e-06
1419.169421875	6.050152478564996e-06
1419.1723515625	6.101954795667552e-06
1419.17528125	6.646884003203013e-06
1419.1782109375	6.462548299168702e-06
1419.181140625	6.4071496126416605e-06
1419.1840703125	6.686813321721274e-06
1419.187	6.60948558106611e-06
1419.1899296875	6.739876880601514e-06
1419.192859375	6.7948885771329515e-06
1419.1957890625	6.87202600602177e-06
1419.19871875	6.97976429364644e-06
1419.2016484375	7.039846423140261e-06
1419.204578125	7.099886715877801e-06
1419.2075078125	7.223571628856007e-06
1419.2104375	7.345879566855729e-06
1419.2133671875	7.3717342274903785e-06
1419.216296875	7.497071919715381e-06
1419.2192265625	7.565607802462182e-06
1419.22215625	7.685538093937794e-06
1419.2250859375	7.73096144257579e-06
1419.228015625	7.776588972774334e-06
1419.2309453125	7.896927399997367e-06
1419.233875	8.012872967810836e-06
1419.2368046875	8.109103873721324e-06
1419.239734375	8.2020451372955e-06
1419.2426640625	8.296115993289277e-06
1419.24559375	8.407940185861662e-06
1419.2485234375	8.486623300996143e-06
1419.251453125	8.636140591988806e-06
1419.2543828125	8.790100764599629e-06
1419.2573125	8.753351721679792e-06
1419.2602421875	8.823745702102315e-06
1419.263171875	8.97244353836868e-06
1419.2661015625	9.024422979564406e-06
1419.26903125	9.144692739937454e-06
1419.2719609375	9.174073966278229e-06
1419.274890625	9.253349162463564e-06
1419.2778203125	9.377370588481426e-06
1419.28075	9.503580713499105e-06
1419.2836796875	9.589022738509811e-06
