frequency	power
1418.90575	1.194030460283102e-06
1418.9086796875	1.1851952876895666e-06
1418.911609375	1.1703285736075486e-06
1418.9145390625	1.1575706366784289e-06
1418.91746875	1.1513277513586218e-06
1418.9203984375	1.1443519269960234e-06
1418.923328125	1.150186221821059e-06
1418.9262578125	1.1481060369078477e-06
1418.9291875	1.1533207953107194e-06
1418.9321171875	1.210964398978831e-06
1418.935046875	1.3450674032355892e-06
1418.9379765625	1.2092921792827838e-06
1418.94090625	1.229460849572206e-06
1418.9438359375	1.1848319445562083e-06
1418.946765625	1.6308945305354428e-06
1418.9496953125	1.6411622141276894e-06
1418.952625	1.3271226180222584e-06
1418.9555546875	2.2173953766468912e-06
1418.958484375	1.6477787312396686e-06
1418.9614140625	1.322619937127456e-06
1418.96434375	1.4416319800147903e-06
1418.9672734375	1.367293180010165e-06
1418.970203125	1.3917936030338751e-06
1418.9731328125	1.4437539448408643e-06
1418.9760625	1.4357823374666623e-06
1418.9789921875	1.4792015008424642e-06
1418.981921875	1.5056088500386977e-06
1418.9848515625	1.5208215700113215e-06
1418.98778125	1.5765232319608913e-06
1418.9907109375	1.6835672340675956e-06
1418.993640625	1.662294039306289e-06
1418.9965703125	1.6795370356703643e-06
1418.9995	1.7165946246677777e-06
1419.0024296875	1.8404808770355885e-06
1419.005359375	1.8358073248236906e-06
1419.0082890625	1.8238459347230673e-06
1419.01121875	1.8714296174948686e-06
1419.0141484375	1.929540871969948e-06
1419.017078125	1.9672705775519717e-06
1419.0200078125	2.018176019191742e-06
1419.0229375	2.0630081962735858e-06
1419.0258671875	2.1094110707053915e-06
1419.028796875	2.1758264665550087e-06
1419.0317265625	2.2398696728487266e-06
1419.03465625	2.2613505734625505e-06
1419.0375859375	2.343423147976864e-06
1419.040515625	2.4017615487537114e-06
1419.0434453125	2.4746229883021442e-06
1419.046375	2.8307938464422477e-06
1419.0493046875	2.669953119038837e-06
1419.052234375	2.6922476763502345e-06
1419.0551640625	2.9260995688673574e-06
1419.05809375	2.798157993311179e-06
1419.0610234375	2.8368502853481914e-06
1419.063953125	2.8903543807246024e-06
1419.0668828125	2.9574476911875536e-06
1419.0698125	3.0177857297530863e-06
1419.0727421875	3.1249783205566928e-06
1419.075671875	3.2433698606837424e-06
1419.0786015625	3.202126436008257e-06
1419.08153125	3.390001893421868e-06
1419.0844609375	3.4718975712166866e-06
1419.087390625	3.383260718692327e-06
1419.0903203125	3.4542936191428453e-06
1419.09325	3.5424218367552385e-06
1419.0961796875	3.5933212529926095e-06
1419.099109375	3.6468693451752188e-06
1419.1020390625	3.6984732787459507e-06
1419.10496875	3.77583819499705e-06
1419.1078984375	3.8798657442384865e-06
1419.110828125	3.905606263288064e-06
1419.1137578125	4.0567329051555134e-06
1419.1166875	4.2145502447965555e-06
1419.1196171875	4.187804734101519e-06
1419.122546875	4.29915507993428e-06
1419.1254765625	4.319729214330437e-06
1419.12840625	4.437274583324324e-06
1419.1313359375	4.512070972850779e-06
1419.134265625	4.5275455704540946e-06
1419.1371953125	4.600153033607057e-06
1419.140125	4.69769702249323e-06
1419.1430546875	4.795105724042514e-06
1419.145984375	4.8612087084620725e-06
1419.1489140625	4.9234313337365165e-06
1419.15184375	5.0381056553305825e-06
1419.1547734375	5.144699116499396e-06
1419.157703125	5.231617933532107e-06
1419.1606328125	5.286774239721126e-06
1419.1635625	5.37949154022499e-06
1419.1664921875	5.4519491641258355e-06
1419.169421875	5.4495058066095226e-06
1419.1723515625	5.592210982285906e-06
1419.17528125	5.709041033696849e-06
1419.1782109375	5.811503342556534e-06
1419.181140625	5.828566827403847e-06
1419.1840703125	6.047838724043686e-06
1419.187	6.03592934567132e-06
1419.1899296875	6.073624263081001e-06
1419.192859375	6.1829200603824575e-06
1419.1957890625	6.298060498011182e-06
1419.19871875	6.435230943679926e-06
1419.2016484375	6.47626984573435e-06
1419.204578125	6.582269179489231e-06
1419.2075078125	6.652390084127546e-06
1419.2104375	6.742164032402798e-06
1419.2133671875	6.797777814426809e-06
1419.216296875	6.906059752509464e-06
1419.2192265625	6.979219506320078e-06
1419.22215625	7.030935648799641e-06
1419.2250859375	7.115885637176689e-06
1419.228015625	7.1676133757136995e-06
1419.2309453125	7.25693280401174e-06
1419.233875	7.389042366412468e-06
1419.2368046875	7.453059879480861e-06
1419.239734375	7.563530743937008e-06
1419.2426640625	7.643016488145804e-06
1419.24559375	7.689699486945756e-06
1419.2485234375	7.807823749317322e-06
1419.251453125	7.93628078099573e-06
1419.2543828125	7.964942597027402e-06
1419.2573125	7.98230576037895e-06
1419.2602421875	8.166604857251514e-06
1419.263171875	8.120063284877688e-06
1419.2661015625	8.172287380148191e-06
1419.26903125	8.34778074931819e-06
1419.2719609375	8.503187018504832e-06
1419.274890625	8.610799341113307e-06
1419.2778203125	8.645411071483977e-06
1419.28075	8.727006388653535e-06
1419.2836796875	8.79085064298124e-06
1419.286609375	8.907862138585187e-06
1419.2895390625	9.209297331835842e-06
1419.29246875	9.0993680714746e-06
1419.2953984375	9.09628488443559e-06
1419.298328125	9.293567018175963e-06
1419.3012578125	9.28203826333629e-06
1419.3041875	9.328162377642002e-06
1419.3071171875	9.330566626886139e-06
1419.310046875	9.457703981752275e-06
1419.3129765625	9.655118901719106e-06
1419.31590625	1.0166014362766873e-05
1419.3188359375	9.795742698770482e-06
1419.321765625	9.812922144192271e-06
1419.3246953125	9.908812444336945e-06
1419.327625	9.963344837160548e-06
1419.3305546875	1.00225961432443e-05
1419.333484375	1.0134994226973504e-05
1419.3364140625	1.0157713859371142e-05
1419.33934375	1.0304553143214434e-05
1419.3422734375	1.0223480330751045e-05
1419.345203125	1.0359417046856834e-05
1419.3481328125	1.0525413017603569e-05
1419.3510625	1.0567431672825478e-05
1419.3539921875	1.0566825949354097e-05
1419.356921875	1.0624737114994787e-05
1419.3598515625	1.068848268914735e-05
1419.36278125	1.0819961062225047e-05
1419.3657109375	1.0847850262507563e-05
1419.368640625	1.0909029697359074e-05
1419.3715703125	1.0928297342616133e-05
1419.3745	1.0976476914947852e-05
1419.3774296875	1.1121398529212456e-05
1419.380359375	1.1204829206690192e-05
1419.3832890625	1.1308415196253918e-05
1419.38621875	1.13959472400893e-05
1419.3891484375	1.1311014077364234e-05
1419.392078125	1.1522339264047332e-05
1419.3950078125	1.1476957297418267e-05
1419.3979375	1.1519068721099757e-05
1419.4008671875	1.1617036761890631e-05
1419.403796875	1.1601789083215408e-05
1419.4067265625	1.1671117135847453e-05
1419.40965625	1.1633173016889486e-05
1419.4125859375	1.165311005024705e-05
1419.415515625	1.1776779501815327e-05
1419.4184453125	1.1899439414264634e-05
1419.421375	1.1871733477164526e-05
1419.4243046875	1.1874557912960881e-05
1419.427234375	1.1930740583920851e-05
1419.4301640625	1.1924501450266689e-05
1419.43309375	1.2090422387700528e-05
1419.4360234375	1.205255466629751e-05
1419.438953125	1.2034572591801407e-05
1419.4418828125	1.2171023627161048e-05
1419.4448125	1.2240531759744044e-05
1419.4477421875	1.2211608463985613e-05
1419.450671875	1.2340029570623301e-05
1419.4536015625	1.2339201020949986e-05
1419.45653125	1.239088669535704e-05
1419.4594609375	1.2321645044721663e-05
1419.462390625	1.2362254892650526e-05
1419.4653203125	1.2284535841899924e-05
1419.46825	1.2402801985444967e-05
1419.4711796875	1.2411661373334937e-05
1419.474109375	1.2552664884424303e-05
1419.4770390625	1.2422434338077437e-05
1419.47996875	1.237187007063767e-05
1419.4828984375	1.243433234776603e-05
1419.485828125	1.2464837709558196e-05
1419.4887578125	1.2520639756985474e-05
1419.4916875	1.2587555829668418e-05
1419.4946171875	1.2599824913195334e-05
1419.497546875	1.2683832210313994e-05
1419.5004765625	1.2640537534025498e-05
1419.50340625	1.2636676729016472e-05
1419.5063359375	1.2699956641881727e-05
1419.509265625	1.2652694294956746e-05
1419.5121953125	1.268534288101364e-05
1419.515125	1.273411362490151e-05
1419.5180546875	1.2848348433180945e-05
1419.520984375	1.2767205134878168e-05
1419.5239140625	1.2672458069573622e-05
1419.52684375	1.2890942343801726e-05
1419.5297734375	1.282401990465587e-05
1419.532703125	1.2801290722563863e-05
1419.5356328125	1.2801604043488624e-05
1419.5385625	1.2873862942797132e-05
1419.5414921875	1.2677367976721143e-05
1419.544421875	1.2831566891691182e-05
1419.5473515625	1.2933215657540131e-05
1419.55028125	1.287857639908907e-05
1419.5532109375	1.2864578820881434e-05
1419.556140625	1.2884223906439729e-05
1419.5590703125	1.3008488167542964e-05
1419.562	1.2943401088705286e-05
1419.5649296875	1.2966955182491802e-05
1419.567859375	1.2915120805701008e-05
1419.5707890625	1.2948205949214753e-05
1419.57371875	1.2913373211631551e-05
1419.5766484375	1.2986901310796384e-05
1419.579578125	1.300579242524691e-05
1419.5825078125	1.312097992922645e-05
1419.5854375	1.3098770978103857e-05
1419.5883671875	1.3027573004364967e-05
1419.591296875	1.3077993116894504e-05
1419.5942265625	1.3008361747779418e-05
1419.59715625	1.305149999097921e-05
1419.6000859375	1.303717726841569e-05
1419.603015625	1.3096258044242859e-05
1419.6059453125	1.3160626622266136e-05
1419.608875	1.300821941185859e-05
1419.6118046875	1.3025005500821862e-05
1419.614734375	1.3092148947180249e-05
1419.6176640625	1.3104361187288305e-05
1419.62059375	1.3089318599668331e-05
1419.6235234375	1.3060090623184806e-05
1419.626453125	1.3004102584091015e-05
1419.6293828125	1.3060535366093973e-05
1419.6323125	1.3102699085720815e-05
1419.6352421875	1.3143732303433353e-05
1419.638171875	1.3207112715463154e-05
1419.6411015625	1.3158016372472048e-05
1419.64403125	1.3040713838563533e-05
1419.6469609375	1.3096647307975218e-05
1419.649890625	1.3144858257874148e-05
1419.6528203125	1.3228023817646317e-05
1419.65575	1.3078590200166218e-05
1419.6586796875	1.3273613149067387e-05
1419.661609375	1.3258233138913056e-05
1419.6645390625	1.3128939826856367e-05
1419.66746875	1.3278902770252898e-05
1419.6703984375	1.3189933724788716e-05
1419.673328125	1.3148757261660649e-05
1419.6762578125	1.3092911103740335e-05
1419.6791875	1.3116462014295394e-05
1419.6821171875	1.3172741091693752e-05
1419.685046875	1.3182311704440508e-05
1419.6879765625	1.3180889254726935e-05
1419.69090625	1.3172022590879351e-05
1419.6938359375	1.320009323535487e-05
1419.696765625	1.311296682615648e-05
1419.6996953125	1.2993987184017897e-05
1419.702625	1.3041596503171604e-05
1419.7055546875	1.3136026609572582e-05
1419.708484375	1.314967084908858e-05
1419.7114140625	1.3072442015982233e-05
1419.71434375	1.3163947187422309e-05
1419.7172734375	1.317302258030395e-05
1419.720203125	1.3072720321360976e-05
1419.7231328125	1.2972911463293713e-05
1419.7260625	1.3096639122522902e-05
1419.7289921875	1.3059557659289567e-05
1419.731921875	1.2968512237421237e-05
1419.7348515625	1.3093217603454832e-05
1419.73778125	1.3083456906315405e-05
1419.7407109375	1.3036704785918118e-05
1419.743640625	1.3020036931266077e-05
1419.7465703125	1.3074696653347928e-05
1419.7495	1.2990867617190816e-05
1419.7524296875	1.3114517059875652e-05
1419.755359375	1.3023083738517016e-05
1419.7582890625	1.2927991519973148e-05
1419.76121875	1.2957877970620757e-05
1419.7641484375	1.2956302271049935e-05
1419.767078125	1.3001813385926653e-05
1419.7700078125	1.2935155154991662e-05
1419.7729375	1.2970983789273305e-05
1419.7758671875	1.2971870091860183e-05
1419.778796875	1.2909329598187469e-05
1419.7817265625	1.3018709069001488e-05
1419.78465625	1.303880344494246e-05
1419.7875859375	1.3066568499198183e-05
1419.790515625	1.301919201068813e-05
1419.7934453125	1.281448339796043e-05
1419.796375	1.2837590475101024e-05
1419.7993046875	1.3021903214394115e-05
1419.802234375	1.2889731806353666e-05
1419.8051640625	1.288096655116533e-05
1419.80809375	1.2852101917815162e-05
1419.8110234375	1.2879247151431628e-05
1419.813953125	1.2916982086608186e-05
1419.8168828125	1.2827525551983854e-05
1419.8198125	1.2946420611115173e-05
1419.8227421875	1.2960050753463292e-05
1419.825671875	1.3065327948424965e-05
1419.8286015625	1.2951248208992183e-05
1419.83153125	1.2882841929240385e-05
1419.8344609375	1.2963860172021668e-05
1419.837390625	1.2946259630552959e-05
1419.8403203125	1.2851812243752647e-05
1419.84325	1.283935307583306e-05
1419.8461796875	1.3024536201555748e-05
1419.849109375	1.2974075161764631e-05
1419.8520390625	1.2949079973623157e-05
1419.85496875	1.3087235856801271e-05
1419.8578984375	1.2956399586983025e-05
1419.860828125	1.2932839581480948e-05
1419.8637578125	1.2915974366478622e-05
1419.8666875	1.2896971384179778e-05
1419.8696171875	1.2926310773764271e-05
1419.872546875	1.290451837121509e-05
1419.8754765625	1.2962058463017456e-05
1419.87840625	1.2981027794012334e-05
1419.8813359375	1.3148376638127957e-05
1419.884265625	1.2962505934410729e-05
1419.8871953125	1.2970634998055175e-05
1419.890125	1.2912287274957635e-05
1419.8930546875	1.301940756093245e-05
1419.895984375	1.3108331586408895e-05
1419.8989140625	1.3083605153951794e-05
1419.90184375	1.2966186659468804e-05
1419.9047734375	1.3144570402801037e-05
1419.907703125	1.3185901934775757e-05
1419.9106328125	1.3184563613322098e-05
1419.9135625	1.3071021385258064e-05
1419.9164921875	1.3280217899591662e-05
1419.919421875	1.3234740890766261e-05
1419.9223515625	1.3281347946758615e-05
1419.92528125	1.3167631550459191e-05
1419.9282109375	1.3352788755582878e-05
1419.931140625	1.3321367987373378e-05
1419.9340703125	1.3266123460198287e-05
1419.937	1.3229361229605274e-05
1419.9399296875	1.339226946583949e-05
1419.942859375	1.3348019820114132e-05
1419.9457890625	1.3357284842641093e-05
1419.94871875	1.3454153304337524e-05
1419.9516484375	1.3482334452419309e-05
1419.954578125	1.3530521755455993e-05
1419.9575078125	1.36306607601e-05
1419.9604375	1.360332362310146e-05
1419.9633671875	1.3721451068704482e-05
1419.966296875	1.3804457921651192e-05
1419.9692265625	1.3758010027231649e-05
1419.97215625	1.3838111954100896e-05
1419.9750859375	1.4034138530405471e-05
1419.978015625	1.3915605450165458e-05
1419.9809453125	1.4010890026838752e-05
1419.983875	1.4147690308163874e-05
1419.9868046875	1.4124112567515112e-05
1419.989734375	1.4362780802912312e-05
1419.9926640625	1.4319040928967297e-05
1419.99559375	1.4334480511024594e-05
1419.9985234375	1.4416378235182492e-05
1420.001453125	1.4356402516568778e-05
1420.0043828125	1.4307969649962615e-05
1420.0073125	1.4269053281168453e-05
1420.0102421875	1.4417516467801761e-05
1420.013171875	1.4429295333684422e-05
1420.0161015625	1.4465262211160734e-05
1420.01903125	1.4470141195488395e-05
1420.0219609375	1.4393259334610775e-05
1420.024890625	1.4528354313370073e-05
1420.0278203125	1.4676059436169453e-05
1420.03075	1.4672221823275322e-05
1420.0336796875	1.4661580735264579e-05
1420.036609375	1.4735554032085929e-05
1420.0395390625	1.4818524050497217e-05
1420.04246875	1.4768500477657653e-05
1420.0453984375	1.4689530871692114e-05
1420.048328125	1.4805278624407947e-05
1420.0512578125	1.4865780030959286e-05
1420.0541875	1.4877892681397498e-05
1420.0571171875	1.4930757970432751e-05
1420.060046875	1.4927516531315632e-05
1420.0629765625	1.4960066437197383e-05
1420.06590625	1.5029227597551653e-05
1420.0688359375	1.4997038306319155e-05
1420.071765625	1.5268256902345456e-05
1420.0746953125	1.5283927496057004e-05
1420.077625	1.533127942821011e-05
1420.0805546875	1.5335775970015675e-05
1420.083484375	1.5614924450346734e-05
1420.0864140625	1.5522940884693526e-05
1420.08934375	1.539912773296237e-05
1420.0922734375	1.5606448869220912e-05
1420.095203125	1.5751991668366827e-05
1420.0981328125	1.5664078091504052e-05
1420.1010625	1.56809801410418e-05
1420.1039921875	1.5710849766037427e-05
1420.106921875	1.575980058987625e-05
1420.1098515625	1.5979367162799463e-05
1420.11278125	1.6016184417821933e-05
1420.1157109375	1.60871659318218e-05
1420.118640625	1.637301465962082e-05
1420.1215703125	1.6426499314547982e-05
1420.1245	1.6281442185572814e-05
1420.1274296875	1.6465719454572536e-05
1420.130359375	1.6462436178699136e-05
1420.1332890625	1.666392472543521e-05
1420.13621875	1.6646050426061265e-05
1420.1391484375	1.6664728718751576e-05
1420.142078125	1.6719199265935458e-05
1420.1450078125	1.6755695469328202e-05
1420.1479375	1.689463715592865e-05
1420.1508671875	1.71356659848243e-05
1420.153796875	1.7188003766932525e-05
1420.1567265625	1.7200691218022257e-05
1420.15965625	1.7293247765337583e-05
1420.1625859375	1.747479836922139e-05
1420.165515625	1.764375156199094e-05
1420.1684453125	1.7669717635726556e-05
1420.171375	1.7818264495872427e-05
1420.1743046875	1.796618198568467e-05
1420.177234375	1.7961588127946015e-05
1420.1801640625	1.820005309127737e-05
1420.18309375	1.818569580791518e-05
1420.1860234375	1.8287223610968795e-05
1420.188953125	1.838558273448143e-05
1420.1918828125	1.8345690477872267e-05
1420.1948125	1.842791971284896e-05
1420.1977421875	1.8288044884684496e-05
1420.200671875	1.8136101971322205e-05
1420.2036015625	1.807163243938703e-05
1420.20653125	1.7832608136814088e-05
1420.2094609375	1.758307553245686e-05
1420.212390625	1.751901254465338e-05
1420.2153203125	1.731046722852625e-05
1420.21825	1.7152335203718394e-05
1420.2211796875	1.7044809283106588e-05
1420.224109375	1.69047170857084e-05
1420.2270390625	1.6865306861291174e-05
1420.22996875	1.6456587218272034e-05
1420.2328984375	1.6313212654495146e-05
1420.235828125	1.614763641555328e-05
1420.2387578125	1.6121743101393804e-05
1420.2416875	1.597828850208316e-05
1420.2446171875	1.567549588799011e-05
1420.247546875	1.5647407053620555e-05
1420.2504765625	1.5580266335746273e-05
1420.25340625	1.5390768567158375e-05
1420.2563359375	1.5331686881836504e-05
1420.259265625	1.530464578536339e-05
1420.2621953125	1.5255854123097379e-05
1420.265125	1.4997706330177607e-05
1420.2680546875	1.4985412690293742e-05
1420.270984375	1.5017809346318245e-05
1420.2739140625	1.4875061424390879e-05
1420.27684375	1.4817579085502075e-05
1420.2797734375	1.4672039014840266e-05
1420.282703125	1.4676380487799179e-05
1420.2856328125	1.4609395293518901e-05
1420.2885625	1.4659994121757336e-05
1420.2914921875	1.4466678294411395e-05
1420.294421875	1.4362742149387486e-05
1420.2973515625	1.4336389085656265e-05
1420.30028125	1.4456214557867497e-05
1420.3032109375	1.443670225853566e-05
1420.306140625	1.4366044979396975e-05
1420.3090703125	1.4379064396052854e-05
1420.312	1.4287672001955798e-05
1420.3149296875	1.4249631021812093e-05
1420.317859375	1.4158273188513704e-05
1420.3207890625	1.4152841686154716e-05
1420.32371875	1.4429539078264497e-05
